subj size,subj type,subj param,query start,query size,direct set,query type,container mode,init time,warmup time,total query time,run count,average time,success
100,exponential,3,3,1,true,all,unordered,49664,11268,13990,20,699,OK
100,exponential,3,3,1,true,sel,any,62053,13722,15966,20,798,OK
100,exponential,3,3,1,true,sel,ordered,55692,12431,15341,20,767,OK
100,exponential,3,3,1,true,sel,unordered,48561,11186,13029,20,651,OK
100,exponential,3,3,1,true,shuffle,any,52791,12008,25360,20,1268,OK
100,exponential,3,3,1,true,shuffle,unordered,49019,11204,12635,20,631,OK
100,exponential,3,3,20,false,all,any,55414,14771,17459,20,872,OK
100,exponential,3,3,20,false,all,exact,52917,15514,24453,20,1222,OK
100,exponential,3,3,20,false,all,ordered,54860,16774,29748,20,1487,OK
100,exponential,3,3,20,false,all,unordered,50890,15931,27228,20,1361,OK
100,exponential,3,3,20,false,shuffle,any,55247,17044,24073,20,1203,OK
100,exponential,3,3,20,false,shuffle,unordered,50752,15382,28734,20,1436,OK
100,exponential,3,3,20,true,all,any,68104,16528,20113,20,1005,OK
100,exponential,3,3,20,true,all,exact,52348,15954,24611,20,1230,OK
100,exponential,3,3,20,true,all,ordered,55996,17572,29393,20,1469,OK
100,exponential,3,3,20,true,all,unordered,51089,15380,27496,20,1374,OK
100,exponential,3,3,20,true,shuffle,any,55473,14478,18561,20,928,OK
100,exponential,3,3,20,true,shuffle,unordered,50830,15231,28016,20,1400,OK
100,exponential,3,3,5,false,all,any,58914,17125,17927,20,896,OK
100,exponential,3,3,5,false,all,exact,52846,15491,16258,20,812,OK
100,exponential,3,3,5,false,all,ordered,54386,14976,17386,20,869,OK
100,exponential,3,3,5,false,all,unordered,50111,14305,17089,20,854,OK
100,exponential,3,3,5,false,sel,any,61494,16247,18007,20,900,OK
100,exponential,3,3,5,false,sel,ordered,55621,16176,17989,20,899,OK
100,exponential,3,3,5,false,sel,unordered,49366,14947,17826,20,891,OK
100,exponential,3,3,5,false,shuffle,any,53961,16910,14240,20,712,OK
100,exponential,3,3,5,false,shuffle,unordered,48756,13891,16888,20,844,OK
100,exponential,3,3,5,true,all,any,63094,16844,18974,20,948,OK
100,exponential,3,3,5,true,all,exact,51761,14475,15798,20,789,OK
100,exponential,3,3,5,true,all,ordered,54445,15054,20594,20,1029,OK
100,exponential,3,3,5,true,all,unordered,50074,14048,16915,20,845,OK
100,exponential,3,3,5,true,sel,any,67157,16591,17365,20,868,OK
100,exponential,3,3,5,true,sel,ordered,55410,15818,17020,20,851,OK
100,exponential,3,3,5,true,sel,unordered,50221,13687,16820,20,841,OK
100,exponential,3,3,5,true,shuffle,any,62880,15772,15456,20,772,OK
100,exponential,3,3,5,true,shuffle,unordered,49794,14713,16226,20,811,OK
100,exponential,3,4,1,false,all,any,57850,18378,18378,20,918,OK
100,exponential,3,4,1,false,all,exact,50001,11567,13280,20,664,OK
100,exponential,3,4,1,false,all,ordered,54061,12587,13635,20,681,OK
100,exponential,3,4,1,false,all,unordered,48163,11109,13729,20,686,OK
100,exponential,3,4,1,false,sel,any,55795,12959,13344,20,667,OK
100,exponential,3,4,1,false,sel,ordered,53149,12186,13890,20,694,OK
100,exponential,3,4,1,false,sel,unordered,50536,11077,12997,20,649,OK
100,exponential,3,4,1,false,shuffle,any,51926,12673,13720,20,686,OK
100,exponential,3,4,1,false,shuffle,unordered,48436,11098,13594,20,679,OK
100,exponential,3,4,1,true,all,any,56601,13602,14413,20,720,OK
100,exponential,3,4,1,true,all,exact,50918,11727,13611,20,680,OK
